Description,First,Second,My,WuPalmer,Resnik,Lin,BERT,FirstDefinition,SecondDefinition
"Simon Parry, 44, was arrested on Thursday following an incident with an unnamed MP in Westminster.",parry,incident,0,0.44,0.19,0.21,0.32,a return punch (especially by a boxer),a single distinct event
Will the Conservatives be able to come together after a long summer of public wrangling?,conservatives,summer,0,0.15,0,0,0.33,a person who is reluctant to accept changes and new ideas,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
"Erik ten Hag praises Manchester United's ""character"" after a thrilling first-leg draw at Barcelona leaves their Europa League play-off tie finely poised.",draw,barcelona,0,0.13,0,0,0.39,the finish of a contest in which the score is tied and the winner is undecided,a city in northeastern Spain on the Mediterranean; 2nd largest Spanish city and the largest port and commercial center; has been a center for radical political beliefs
The foreign secretary will use a speech in Washington to argue for stronger action against Russia.,speech,russia,0,0.11,0,0,0.3,words making up the dialogue of a play,formerly the largest Soviet Socialist Republic in the USSR occupying eastern Europe and northern Asia
The National Audit Office has found the project is behind schedule and not delivering value for money.,money,audit,0.1,0.24,0.07,0.06,0.21,the most common medium of exchange; functions as legal tender,a methodical examination or review of a condition or situation
Liverpool survive a scare against Villarreal to move into the Champions League final - and keep their hopes of winning the quadruple alive.,liverpool,scare,0,0.12,0,0,0.28,a large city in northwestern England; its port is the country's major outlet for industrial exports,a sudden attack of fear
"Gallery owner Steph Warren had a job at the ""reserved"" graffiti star's print shop in London.",graffiti,warren,0,0.47,0.11,0.13,0.36,a rude decoration inscribed on rocks or walls,United States writer and poet (1905-1989)
"Western allies must ""double down"" in their support for Ukraine, the UK's foreign secretary says.",support,secretary,0,0.63,0.54,0.41,0.37,any device that bears the weight of another thing,a desk used for writing
"Spanish goalkeeper Catalina Coll tells the BBC she is ""saddneded"" that the scandal over the Spanish FA president kissing her team-mate has overshadowed their win.",win,president,0,0.44,0.2,0.21,0.39,a victory (as in a race or other competition),the office of the United States head of state
A hairdresser in Wales is collecting her customers' hair and turning it into something useful.,customers,wales,0.3,0.42,0.2,0.15,0.29,someone who pays for goods or services,thick plank forming a ridge along the side of a wooden ship
They are able to visit their homes and see relatives for the first time since the Russian invasion began.,homes,russian,0,0.15,0,0,0.28,an environment offering affection and security,a native or inhabitant of Russia
Newly turned professional Ludvig Aberg warms up for the Ryder Cup with an impressive opening round at the BMW PGA Championship.,round,championship,0.2,0.25,0.05,0.05,0.66,a partsong in which voices follow each other; one voice starts and others join in one after another until all are singing different parts of the song at the same time,a competition at which a champion is chosen
"On results day, three teenagers reveal the unusual conditions they studied for their exams under.",conditions,teenagers,0,0.29,0.12,0.1,0.44,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation,a juvenile between the onset of puberty and maturity
A transatlantic spat over green subsidies is casting a shadow over this year's World Economic Forum.,shadow,world,0,0.31,0.06,0.07,0.2,something existing in perception only,all of the living human inhabitants of the earth
The price of the things we spend our money on is rising at its highest rate for 40 years.,rate,price,0.5,0.82,0.69,0.69,0.5,amount of a charge or payment relative to some basis,the amount of money needed to purchase something
"Large queues are already forming in London, as people wait for the Queen's lying-in-state to begin.",queen,people,0.5,0.17,0,0,0.34,a female sovereign ruler,(plural) any group of human beings (men or women or children) collectively
The Bolton comedian makes a triumphant return in the first date of his first tour for 12 years.,date,return,0,0.21,0.06,0.07,0.44,"the particular day, month, or year (usually according to the Gregorian calendar) that an event occurred",a tennis stroke that sends the ball back to the other player
A local TV producer was stunned to recognise this boy in footage from outside a school 50 years ago.,years,tv,0,0.12,0,0,0.34,a period of time containing 365 (or 366) days,an electronic device that receives television signals and displays them on a screen
A florist in Slough warned now is not the time to scale back support with energy bills.,energy,time,0.2,0.4,0.24,0.27,0.18,a healthy capacity for vigorous activity,rhythm as given by division into parts of equal duration
Pictures as people across the UK get ready to celebrate on Saturday.,pictures,saturday,0,0.25,0.08,0.07,0.28,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
"One venue's owners say they cannot host winter weddings, as their heating bills are too high.",venue,winter,0,0.13,0,0,0.29,the scene of any event or action (especially the place of a meeting),the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
"The Tesla founder has become the social network's biggest single shareholder, and a board member.",board,founder,0.6,0.12,0,0,0.54,a committee having supervisory powers,a person who founds or establishes some institution
"""We have a horse problem"" - the jet was flying to Belgium when an equine passenger escaped its crate.",passenger,problem,0,0.15,0,0,0.5,a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it,a source of difficulty
"After the thrill of reaching a first World Cup for 64 years, Wales' early departure from Qatar leaves question marks over the direction Rob Page now takes his ageing squad.",qatar,world,0.2,0.33,0,0,0.35,an Arab country on the peninsula of Qatar; achieved independence from the United Kingdom in 1971; the economy is dominated by oil,all of the living human inhabitants of the earth
A string of controversies has turned the spotlight on one of the most powerful figures in government.,string,spotlight,0,0.5,0.23,0.23,0.43,a necklace made by a stringing objects together,a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer
"At Wimbledon in 2001, a teenage hopeful took on the serial champion. It was a match for the ages - the only time two greats met.",ages,time,0.5,0.83,0.52,0.56,0.23,a prolonged period of time,an indefinite period (usually marked by specific attributes or activities)
"With it all to play for, BBC Sport explains what results are needed for each team to progress in the men's and women's Hundred.",results,men,0,0.5,0.34,0.38,0.38,the semantic role of the noun phrase whose referent exists only by virtue of the activity denoted by the verb in the clause,all of the living human inhabitants of the earth
"The UK contestant is one of the favourites to win the contest, but he's trying not think about it.",favourites,contestant,0,0.67,0.51,0.68,0.43,a competitor thought likely to win,a person who participates in competitions
Campaigners are in tears as the ancient tree is felled after a row over how it was a threat to homes.,ancient,tree,0,0.6,0.22,0.25,0.58,a very old person,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
Two 19-year-old university students and a man in his 50s were killed in van and knife attacks in the city on Tuesday morning.,city,morning,0,0.27,0.07,0.07,0.46,people living in a large densely populated municipality,the earliest period
Birmingham City move up to seventh in the Championship as Troy Deeney's early double helps beat Paul Ince's Reading.,reading,troy,0.1,0.9,0.65,0.53,0.34,a city on the River Thames in Berkshire in southern England,an ancient city in Asia Minor that was the site of the Trojan War
A 48-year-old teetotal woman survived on wine and snacks after getting stranded in bushland.,snacks,wine,0.9,0.62,0.48,0.54,0.68,a light informal meal,fermented juice (of grapes especially)
"The prince said Ms Davy decided ""a royal life was not for her"", as his High Court case against Mirror Group Newspapers begins.",court,ms,0.1,0.32,0.14,0.13,0.4,a hotel for motorists; provides direct access from rooms to parking area,a state in the Deep South on the gulf of Mexico; one of the Confederate States during the American Civil War
Ian Smith couldn't help the impromptu move as Rita Ora performed at the Prince's Trust event in New York.,trust,york,0,0.21,0.06,0.05,0.32,certainty based on past experience,the English royal house (a branch of the Plantagenet line) that reigned from 1461 to 1485; its emblem was a white rose
Olympic champion Eve Muirhead speaks to BBC Scotland about the defining year of her career.,career,year,0.2,0.29,0.07,0.07,0.55,the particular occupation for which you are trained,a period of time containing 365 (or 366) days
"Wildfires continue to cause chaos on Rhodes, as tourists are evacuated.",chaos,rhodes,0,0.29,0.07,0.07,0.33,the formless and disordered state of matter before the creation of the cosmos,British colonial financier and statesman in South Africa; made a fortune in gold and diamond mining; helped colonize the territory now known as Zimbabwe; he endowed annual fellowships for British Commonwealth and United States students to study at Oxford University (1853-1902)
Margaret Davidson was bringing up a young family in the Falklands when war broke out 40 years ago.,years,war,0,0.31,0.09,0.08,0.36,a body of students who graduate together,the waging of armed conflict against an enemy
"A young, progressive party won more seats than any other. Will the senate and courts let them govern?",seats,party,0.5,0.13,0,0,0.57,a center of authority (as a city from which authority is exercised),a group of people gathered together for pleasure
Scorching temperatures and drought feed fires in the north of the country.,fires,north,0,0.24,0.09,0.09,0.4,once thought to be one of four elements composing the universe (Empedocles),the United States (especially the northern states during the American Civil War)
"Simon Lingard died after his unit was attacked amid the conflict, his family confirm.",unit,simon,0.4,0.25,0.13,0.07,0.44,an organization regarded as part of a larger social group,one of the twelve Apostles (first century)
"Alice Walker, now 67, scores a perfect 14 out of 14 on her specialist subject, the Peak District.",subject,peak,0.1,0.43,0.17,0.16,0.31,a person who owes allegiance to that nation,the top or extreme point of something (usually a mountain or hill)
The parents of Claire Inglis want to know why a violent offender was bailed to her address.,offender,address,0,0.4,0.18,0.18,0.39,a person who transgresses moral or civil law,the place where a person or organization can be found or communicated with
The charges follow the death of a father-of-six and attacks on three other people in incidents around Skye.,charges,incidents,0.2,0.53,0.22,0.22,0.47,an impetuous rush toward someone or something,a single distinct event
The BBC's James Waterhouse watches on as work to remove a huge Soviet-era symbol begins in Kyiv.,symbol,james,0,0.44,0.3,0.28,0.28,something visible that by association or convention represents something else that is invisible,(New Testament) disciple of Jesus; brother of John; author of the Epistle of James in the New Testament
"Huw Davies seemingly loved the views of Cardigan Bay, but not the birds who were there as well.",davies,views,0,0.42,0.11,0.14,0.38,English chemist who was a pioneer in electrochemistry and who used it to isolate elements sodium and potassium and barium and boron and calcium and magnesium and chlorine (1778-1829),graphic art consisting of the graphic or photographic representation of a visual percept
Neil Parish says he was verbally abused and sent death threats after being seen watching porn at work.,parish,death,0,0.11,0,0,0.29,the local subdivision of a diocese committed to one pastor,the act of killing
"Mo Farah says it would not ""make any sense"" to continue racing if he could compete at the top, as he prepares for the London 10,000.",london,sense,0,0.11,0,0,0.19,the capital and largest city of England; located on the Thames in southeastern England; financial and industrial and cultural center,the faculty through which the external world is apprehended
Almost 700 train services are temporarily removed after a pay row triggered a wave of driver shortages.,shortages,wave,0.2,0.24,0.05,0.06,0.53,the property of being an amount by which something is less than expected or required,a movement like that of a sudden occurrence or increase in a specified phenomenon
A 16-year-old boy is arrested on suspicion of murder following the stabbing in Northumberland.,northumberland,suspicion,0,0.13,0,0,0.25,the northernmost county of England; has many Roman remains (including Hadrian's Wall),an impression that something might be the case
The King will mark his 75th birthday with plans to help those without food and to reduce wasted food.,king,plans,0,0.22,0.06,0.07,0.39,one of the four playing cards in a deck bearing the picture of a king,a series of steps to be carried out or goals to be accomplished
Details of how people can pay their final respects at the Palace of Westminster have been revealed.,details,palace,0,0.27,0.08,0.07,0.32,an isolated fact that is considered separately from the whole,the governing group of a kingdom
One of the UK's largest pension funds is the first investor to come out and support Thames Water.,funds,uk,0.1,0.09,0,0,0.28,a supply of something available for future use,a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom
"The rising cost of energy, transport and childcare is forcing families to make tough choices.",energy,cost,0.1,0.2,0.07,0.07,0.46,the federal department responsible for maintaining a national energy policy of the United States; created in 1977,the property of having material worth (often indicated by the amount of money something would bring if sold)
The UK government says Nexperia's takeover of Newport Wafer Fab creates national security risks.,security,risks,0.1,0.43,0.23,0.25,0.66,measures taken as a precaution against theft or espionage or sabotage etc.,a venture undertaken without regard to possible loss or injury
The rate at which prices are rising has fallen but remains well above the 2% inflation target.,prices,target,0,0.27,0.07,0.07,0.36,the amount of money needed to purchase something,a reference point to shoot at
"Faked medical records, pharmacists, fixers, fame and fortune. Dopers infiltrated Kenyan distance running but the fightback has begun.",kenyan,fame,0,0.14,0,0,0.33,a native or inhabitant of Kenya,the state or quality of being widely honored and acclaimed
"Cristiano Ronaldo is hailed as a ""phenomenon"" and ""legend"" after he becomes the first man to score at five Fifa World Cups.",phenomenon,cups,0.1,0.33,0.17,0.11,0.27,any state or process known through the senses rather than by intuition or reasoning,cup-shaped plant organ
"Households want a block on energy costs and the PM is proud of delivering his promises, the papers say.",promises,costs,0.1,0.31,0.07,0.09,0.44,a verbal commitment by one person to another agreeing to do (or not to do) something in the future,the total spent for goods or services including money and time and labor
Counter-attacks by Ukrainian forces are successfully regaining territory as Russian forces refocus efforts on the east of the country.,country,efforts,0,0.25,0.09,0.08,0.36,a politically organized body of people under a single government,a notable achievement
"Officials warn this could be Greece's hottest July weekend in 50 years, with temperatures hitting 45C.",weekend,greece,0,0.12,0,0,0.24,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday,a republic in southeastern Europe on the southern part of the Balkan peninsula; known for grapes and olives and olive oil
West Indies' Deandra Dottin takes a sensational catch to dismiss England's Lauren Winfield-Hill at the Women's World Cup.,cup,england,0,0.33,0.12,0.13,0.47,cup-shaped plant organ,a division of the United Kingdom
"The suspect was detained at Birmingham Airport on Thursday evening, police say.",airport,birmingham,0.2,0.33,0.14,0.12,0.38,an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo,the largest city in Alabama; located in northeastern Alabama
The UK economy is forecast to shrink this year but what will it mean for first-time home buyers?,buyers,uk,0.1,0.3,0.11,0.12,0.36,a person who buys,a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom
"Gabby Logan, Leon Osman and Dion Dublin analyse Marcus Rashford's performance as he scores the winning goal in Manchester United's 1-0 home win over Brentford.",manchester,goal,0,0.44,0.28,0.31,0.52,largest city in New Hampshire; located in southeastern New Hampshire on the Merrimack river,the place designated as the end (as of a race or journey)
Watch highlights as goals from Jarrod Bowen and Michail Antonio give West Ham a 2-0 victory over Derby to set up an FA Cup fifth round tie away at Manchester United.,fa,derby,0.2,0.11,0,0,0.48,the syllable naming the fourth (subdominant) note of the diatonic scale in solmization,a felt hat that is round and hard with a narrow brim
Football matches recently have been disrupted by activists who have crashed the pitch.,activists,football,0,0.12,0,0,0.34,a militant reformer,any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
"Jenny Hill reports from the village of Vati in Rhodes, as fires continue to spread across the region.",rhodes,jenny,0.2,0.6,0.44,0.45,0.25,British colonial financier and statesman in South Africa; made a fortune in gold and diamond mining; helped colonize the territory now known as Zimbabwe; he endowed annual fellowships for British Commonwealth and United States students to study at Oxford University (1853-1902),United States architect who designed the first skyscraper in which a metal skeleton was used (1832-1907)
"In her first media interview, the female ex-corporal says she quit after being assaulted in her sleep.",media,interview,0.1,0.27,0.06,0.06,0.59,a state that is intermediate between extremes; a middle position,the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
Chelsea could face further scrutiny from football's authorities over reports of payments connected to the club's former owner Roman Abramovich.,owner,reports,0,0.12,0,0,0.45,(law) someone who owns (is legal possessor of) a business,the act of informing by verbal report
"France and Germany call for ""direct, serious"" talks between President Putin and Ukraine's leader.",germany,ukraine,1,0.84,0.6,0,0.4,a republic in central Europe; split into East Germany and West Germany after World War II and reunited in 1990,a republic in southeastern Europe; formerly a European soviet; the center of the original Russian state which came into existence in the ninth century
"Watch as England's Harry Brook is bowled by Australia's Nathan Lyon for 32 after a ""freakish dismissal"" on day one of the first Ashes Test.",england,brook,0.1,0.25,0.08,0.08,0.43,a division of the United Kingdom,a natural stream of water smaller than a river (and often a tributary of a river)
The 12-year-old's family have an extra day to appeal to the European Court of Human Rights.,family,rights,0,0.38,0.15,0.15,0.22,a person having kinship with another or others,the piece of ground in the outfield on the catcher's right
Charles Leclerc was denied one of the great Monaco laps by the red flag - could he be denied the race entirely in the future?,laps,charles,0,0.35,0.35,0.37,0.43,the upper side of the thighs of a seated person,a river in eastern Massachusetts that empties into Boston Harbor and that separates Cambridge from Boston
"Princess Leonor of Spain's birthday is on Tuesday, prompting talk of what sort of royal she will be.",spain,tuesday,0,0.11,0,0,0.2,a parliamentary monarchy in southwestern Europe on the Iberian Peninsula; a former colonial power,the third day of the week; the second working day
"""I just want to say now, I have no new music,"" says the star as he headlines the Latitude Festival.",latitude,festival,0.1,0.22,0.05,0.05,0.43,the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself,an organized series of acts and performances (usually in one place)
Monday's papers focus on the PM's plans to tackle grooming gangs - and Jodie Comer's Olivier Award.,plans,olivier,0,0.4,0.18,0,0.21,scale drawing of a structure,English actor best know for his Shakespearean roles (1907-1989)
Former Crystal Palace winger Wilfried Zaha joins Turkish side Galatasaray after leaving the Eagles at the end of his contract in June.,june,side,0,0.12,0,0,0.3,the month following May and preceding July,a surface forming part of the outside of an object
Afghanistan's vice and virtue minister says female visitors to Band-e-Amir were not wearing hijabs properly.,virtue,vice,0.8,0.57,0.56,0.41,0.64,a particular moral excellence,moral weakness
"The ex-health secretary's spokesman says leaked messages have been ""doctored to create a false story"".",spokesman,messages,0,0.18,0,0,0.43,a male spokesperson,what a communication that is about something is about
Kim Kardashian is pulled into a row over the fashion house's latest campaign after heavy backlash.,backlash,house,0,0.56,0.16,0.21,0.44,an adverse reaction to some political or social occurrence,play in which children take the roles of father or mother or children and pretend to interact like adults
The Akita Inu has been lionised in Japan and beyond as a symbol of devotion and fidelity.,devotion,symbol,0.2,0.25,0.05,0.06,0.49,feelings of ardent love,something visible that by association or convention represents something else that is invisible
England midfielder Keira Walsh says she feels more responsibility on the pitch under manager Sarina Wiegman.,responsibility,pitch,0,0.14,0,0,0.28,the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr,a vendor's position (especially on the sidewalk)
The token grants the bearer free access to plays at the Bristol Old Vic and will be auctioned later.,bristol,access,0,0.12,0,0,0.3,an industrial city and port in southwestern England near the mouth of the River Avon,a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
"The firm is struggling to stop climate misinformation spreading on its platform, BBC investigation finds.",platform,firm,0.1,0.27,0.07,0.08,0.55,a document stating the aims and principles of a political party,the members of a business organization that owns or operates one or more establishments
If Russia has carried out war crimes in Ukraine how could Putin or his army generals be prosecuted?,russia,army,0.2,0.12,0,0,0.54,a former communist country in eastern Europe and northern Asia; established in 1922; included Russia and 14 other soviet socialist republics (Ukraine and Byelorussia and others); officially dissolved 31 December 1991,a permanent organization of the military land forces of a nation or state
Ukraine's first lady says it's important to keep highlighting the human cost of the war in her country.,lady,country,0.1,0.13,0,0,0.49,a woman of refinement,a politically organized body of people under a single government
"Sketching the former president under the greatest scrutiny possible. It's a tough job, so how do they do it?",president,job,0.4,0.82,0.65,0.79,0.22,the office of the United States head of state,the principal activity in your life that you do to earn money
Some critics of Boris Johnson have questioned his honesty - we tested some of his most notable claims.,claims,critics,0,0.13,0,0,0.55,an assertion of a right (as to money or property),a person who is professionally engaged in the analysis and interpretation of works of art
It marks Bashar al-Assad's first visit to an Arab country since the Syrian civil war began in 2011.,war,visit,0.2,0.59,0.55,0.54,0.23,the waging of armed conflict against an enemy,the act of going to see some person or place or thing for a short time
"England may have broken records with the bat, but it is their effort with the ball that could see them to victory in the first Test in Pakistan, writes Stephan Shemilt.",records,bat,0,0.59,0.26,0.23,0.3,an extreme attainment; the best (or worst) performance ever attested (as in a sport),(baseball) a turn trying to get a hit
"The chancellor's Autumn Statement sets the scene for the next general election, writes Nick Eardley.",nick,election,0,0.63,0.35,0.37,0.33,a small cut,the act of selecting someone or something; the exercise of deliberate choice
A mixed showing from England's bowlers allows West Indies to edge an attritional second day of the first Test in Antigua.,antigua,england,0.9,0.38,0,0,0.37,the largest of the islands comprising Antigua and Barbuda,a division of the United Kingdom
"From Spain to Latvia, national and regional records for January are broken across the continent.",spain,records,0,0.12,0,0,0.23,a parliamentary monarchy in southwestern Europe on the Iberian Peninsula; a former colonial power,the number of wins versus losses and ties a team has had
"Delicious, budget-friendly slow cooker meal recipes for a family of four.",delicious,recipes,0,0.12,0,0,0.66,variety of sweet eating apples,directions for making something
Sport and BBC Four are among the areas to have fewer hours of original coverage to save money.,money,hours,0.2,0.4,0.35,0.36,0.41,wealth reckoned in terms of money,distance measured by the time taken to cover it
Watch some of the best shots as Katie Boulter beats British compatriot Jodie Burrage to win the Nottingham Open final.,open,shots,0,0.17,0,0,0.59,information that has become public,a person who shoots (usually with respect to their ability to shoot)
Chelsea boss Mauricio Pochettino says new signing Lesley Ugochukwu may still leave on loan after joining for £23m from Rennes.,boss,loan,0,0.27,0.05,0.06,0.36,wild and domestic cattle; in some classifications placed in the subfamily Bovinae or tribe Bovini,the temporary provision of money (usually at interest)
Hundreds of Ukrainian women are pregnant with other people's children - creating a web of complex problems.,women,problems,0,0.31,0.07,0.07,0.48,women as a class,a question raised for consideration or solution
Australia's contestant Sheldon Riley will compete in Turin with his powerful song Not The Same.,riley,turin,0.2,0.3,0,0,0.26,United States poet (1849-1916),capital city of the Piemonte region of northwestern Italy
How to watch every Uefa Women's Euro 2022 game on the BBC this July.,game,july,0.1,0.4,0.29,0.27,0.39,(games) the score at a particular point or the score needed to win,the month following June and preceding August
A passenger's video shows the aircraft spitting fire shortly after take-off from Ohio.,ohio,aircraft,0,0.3,0.14,0.15,0.37,a midwestern state in north central United States in the Great Lakes region,a vehicle that can fly
Red Bull's Max Verstappen enjoys a comfortable victory in the Sao Paulo Grand Prix sprint race after passing Lando Norris at the start.,victory,red,0,0.15,0,0,0.35,a successful ending of a struggle or contest,emotionally charged terms used to refer to extreme radicals or revolutionaries
"Emma Hayes calls Chelsea's 3-0 win over Paris St-Germain her ""favourite"" display of the season as Sam Kerr's strike and two Lauren James goals secure top spot in Women's Champions League Group A.",goals,group,0,0.29,0.06,0.09,0.26,a successful attempt at scoring,any number of entities (members) considered as a unit
The Maritime and Coastguard Agency held the Pride of Kent after it failed a safety inspection.,safety,kent,0,0.12,0,0,0.26,(baseball) the successful act of striking a baseball in such a way that the batter reaches base safely,"a county in southeastern England on the English Channel; formerly an Anglo-Saxon kingdom, it was the first to be colonized by the Romans"
"Profile of the former equalities campaigner, who has been the surprise package of the Tory leadership race.",profile,tory,0,0.12,0,0,0.25,degree of exposure to public notice,an American who favored the British side during the American Revolution
The ruling by the International Chess Federation is drawing criticism from some players.,ruling,international,0,0.24,0.06,0.06,0.33,the reason for a court's judgment (as opposed to the decision itself),any of several international socialist organizations
"The 97-year-old presents Planet Earth III, the third instalment of the landmark award-winning programme.",landmark,presents,0,0.27,0.05,0.06,0.43,a mark showing the boundary of a piece of land,something presented as a gift
Match of the Day 2 pundit Danny Murphy says that Arsenal have a world-beating attack with Gabriel Martinelli and Bukayo Saka but will not challenge Man City for the title.,murphy,title,0,0.11,0,0,0.2,an edible tuber native to South America; a staple food of Ireland,an established or recognized right
"Tasks also include counting penguins and general maintenance, though they will not have running water.",tasks,water,0,0.25,0.1,0.08,0.36,any piece of work that is undertaken or attempted,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
The Jumbo restaurant capsized in the South China Sea days after it was towed out of the harbour.,harbour,china,0.2,0.32,0.12,0.12,0.26,a place of refuge and comfort and security,a communist nation that covers a vast territory in eastern Asia; the most populous country in the world
Risky escape routes have opened up for Ukrainians - including driving through Russia to Georgia.,escape,routes,0.1,0.35,0.12,0.15,0.71,a valve in a container in which pressure can build up (as a steam boiler); it opens automatically when the pressure reaches a dangerous level,an established line of travel or access
"The quarter-finals of Euro 2022 start on Wednesday when England take on Spain, but who poses the biggest challenge to England's campaign for the trophy?",start,spain,0,0.11,0,0,0.26,the act of starting something,a parliamentary monarchy in southwestern Europe on the Iberian Peninsula; a former colonial power
The Prince and Princess of Wales hop on the Elizabeth Line to a Soho pub to get some lessons.,lessons,prince,0,0.11,0,0,0.21,a unit of instruction,a male member of a royal family other than the sovereign (especially the son of a sovereign)
A Maharashtra village switches off TV and internet for a few hours daily - and the results are worth it.,maharashtra,tv,0,0.35,0,0,0.33,a historical area in west-central India,broadcasting visual images of stationary or moving objects; ;  - Ernie Kovacs
The plans would have required many frontline officers and staff to remove beards and moustaches.,officers,plans,0,0.4,0.23,0.2,0.44,any person in the armed services who holds a position of authority or command,scale drawing of a structure
Some Muslims have been struggling to afford food to break their fasts amid the soaring cost of living.,living,food,0,0.31,0.07,0.07,0.54,the financial means whereby one lives,anything that provides mental stimulus for thinking
"The drones are launched from Lebanon, amid border tensions between the nations.",lebanon,drones,0,0.32,0,0,0.35,an Asian republic at east end of Mediterranean,someone who takes more time than necessary; someone who lags behind
"The BBC has followed families who have moved from Hong Kong to the UK, to see if life is everything they hoped for.",families,life,0.2,0.71,0.27,0.29,0.53,a person having kinship with another or others,a living person
"On 24 February 2022, Vladimir Putin sent troops into Ukraine, hoping to take over the country in a matter of days.",putin,troops,0.4,0.12,0,0,0.35,Russian statesman chosen as president of the Russian Federation in 2000; formerly director of the Federal Security Bureau (born in 1952),a group of soldiers
Nottingham Panthers' Adam Johnson dies after suffering a cut to his neck from a skate in a Challenge Cup match against the Sheffield Steelers.,match,challenge,0.2,0.17,0,0,0.42,a person who is of equal standing with another in a group,a demand by a sentry for a password or identification
